song_id,song,artist,total_appearances,reentry_count,avg_gap_days,max_gap_days,avg_popularity,peak_popularity,best_position,album_type,is_explicit,duration_min,total_tracks
SPOT! || ZICO,SPOT!,ZICO,3,0,0.0,0,73.33,77,2,single,False,2.8,1
SPOT! || ZICO & JENNIE,SPOT!,ZICO & JENNIE,87,1,88.0,88,83.83,87,2,single,False,2.8,1
STARS || Kanye West & Ty Dolla $ign,STARS,Kanye West & Ty Dolla $ign,2,0,0.0,0,82.5,84,18,album,True,1.92,16
STUPID IN LOVE (feat. HUH YUNJIN of LE SSERAFIM) || MAX,STUPID IN LOVE (feat. HUH YUNJIN of LE SSERAFIM),MAX,31,2,16.0,16,73.32,76,28,album,False,2.89,12
Salty & Sweet || aespa,Salty & Sweet,aespa,1,0,0.0,0,74.0,74,46,single,False,3.36,6
Sandman || Beenzino,Sandman,Beenzino,3,0,0.0,0,42.0,44,38,album,True,2.93,18
Santa Tell Me || Ariana Grande,Santa Tell Me,Ariana Grande,11,0,0.0,0,95.91,96,11,single,False,3.4,1
Saturn || SZA,Saturn,SZA,10,0,0.0,0,89.9,91,43,single,False,3.1,5
Say Less || TAEMIN,Say Less,TAEMIN,1,0,0.0,0,51.0,51,48,single,False,2.59,7
Scenery || V,Scenery,V,12,0,0.0,0,67.42,77,23,single,False,4.9,1
See that? || NMIXX,See that?,NMIXX,24,0,0.0,0,64.62,70,21,single,False,3.05,6
Serendipity - Full Length Edition || BTS,Serendipity - Full Length Edition,BTS,1,0,0.0,0,72.0,72,35,album,False,4.61,26
Set Me Free Pt.2 || Jimin,Set Me Free Pt.2,Jimin,429,0,0.0,0,81.1,87,4,single,True,3.35,1
Set The Tone || aespa,Set The Tone,aespa,5,0,0.0,0,60.8,64,15,album,False,3.38,10
Seven (David Guetta Remix) || Jung Kook & Latto & David Guetta,Seven (David Guetta Remix),Jung Kook & Latto & David Guetta,4,0,0.0,0,44.5,62,23,single,True,2.62,2
Seven (feat. Latto) (Alesso Remix) || Jung Kook & Latto,Seven (feat. Latto) (Alesso Remix),Jung Kook & Latto,8,0,0.0,0,59.5,72,17,single,True,2.71,4
Seven (feat. Latto) (Band Ver.) || Jung Kook & Latto,Seven (feat. Latto) (Band Ver.),Jung Kook & Latto,10,0,0.0,0,74.5,77,16,single,False,3.16,5
Seven (feat. Latto) (Explicit Ver.) || Jung Kook,Seven (feat. Latto) (Explicit Ver.),Jung Kook,385,0,0.0,0,86.24,91,1,album,True,3.06,11
Seven (feat. Latto) (Explicit Ver.) || Jung Kook & Latto,Seven (feat. Latto) (Explicit Ver.),Jung Kook & Latto,109,0,0.0,0,98.3,100,1,single,True,3.07,3
Seven (feat. Latto) (Explicit Ver.) || Jung Kook & Latto & BTS,Seven (feat. Latto) (Explicit Ver.),Jung Kook & Latto & BTS,2,0,0.0,0,92.0,93,1,single,True,3.07,3
Seven (feat. Latto) (Instrumental) || Jung Kook & Latto,Seven (feat. Latto) (Instrumental),Jung Kook & Latto,20,0,0.0,0,80.2,81,9,single,False,3.07,3
Seven (feat. Latto) (Instrumental) || Jung Kook & Latto & BTS,Seven (feat. Latto) (Instrumental),Jung Kook & Latto & BTS,2,0,0.0,0,78.0,79,12,single,False,3.07,3
Seven (feat. Latto) (Lofi Mix) || Jung Kook & Latto,Seven (feat. Latto) (Lofi Mix),Jung Kook & Latto,2,0,0.0,0,67.0,68,47,single,False,3.35,7
Seven (feat. Latto) (Summer Mix) || Jung Kook & Latto,Seven (feat. Latto) (Summer Mix),Jung Kook & Latto,6,0,0.0,0,72.67,78,12,single,False,3.36,5
Sexy In The Air || TAEMIN,Sexy In The Air,TAEMIN,11,0,0.0,0,55.36,65,27,single,False,3.25,7
She Smiled || DAY6,She Smiled,DAY6,5,0,0.0,0,53.0,56,27,album,False,3.38,8
"Shh.. (Feat. HYEIN, WONSUN JOE & Special Narr. Patti Kim) || IU","Shh.. (Feat. HYEIN, WONSUN JOE & Special Narr. Patti Kim)",IU,4,0,0.0,0,58.0,58,19,single,False,3.78,5
Shoong! (feat. LISA of BLACKPINK) || TAEYANG,Shoong! (feat. LISA of BLACKPINK),TAEYANG,10,0,0.0,0,78.9,79,40,album,False,3.42,6
Shopper || IU,Shopper,IU,18,0,0.0,0,69.0,74,15,single,False,3.6,5
Shot Glass of Tears || Jung Kook,Shot Glass of Tears,Jung Kook,45,2,36.0,62,82.96,86,13,album,False,2.79,11
Shxtty Game || DAY6,Shxtty Game,DAY6,3,0,0.0,0,50.0,53,42,album,False,3.16,8
Siren || RIIZE,Siren,RIIZE,32,0,0.0,0,65.44,68,8,single,False,2.47,1
Skrr (feat. GISELLE) || HAON,Skrr (feat. GISELLE),HAON,5,0,0.0,0,55.4,58,30,single,False,3.65,1
Slime You Out (feat. SZA) || Drake & SZA,Slime You Out (feat. SZA),Drake & SZA,2,0,0.0,0,37.5,75,37,single,True,5.17,1
Slow Dance (feat. Sofia Carson) || Jimin,Slow Dance (feat. Sofia Carson),Jimin,129,0,0.0,0,76.02,80,6,album,False,3.14,7
Slow Dancing (FRNK Remix) || V,Slow Dancing (FRNK Remix),V,2,0,0.0,0,0.0,0,44,single,False,2.83,2
Slow Dancing (Piano Ver.) || V,Slow Dancing (Piano Ver.),V,60,1,54.0,54,85.53,87,13,single,False,3.13,6
Slow Dancing || V,Slow Dancing,V,235,0,0.0,0,90.42,96,4,single,False,3.12,6
Small girl (feat. D.O.) || Lee Young Ji,Small girl (feat. D.O.),Lee Young Ji,93,0,0.0,0,73.28,77,4,single,False,3.16,6
Smart || LE SSERAFIM,Smart,LE SSERAFIM,118,0,0.0,0,77.31,87,9,single,False,2.77,5
Smeraldo Garden Marching Band (feat. Loco) || Jimin,Smeraldo Garden Marching Band (feat. Loco),Jimin,129,0,0.0,0,75.64,80,3,album,False,3.05,7
Smeraldo Garden Marching Band (feat. Loco) || Jimin & Loco,Smeraldo Garden Marching Band (feat. Loco),Jimin & Loco,20,0,0.0,0,89.5,93,2,single,False,3.05,1
"Smoke (Prod. Dynamicduo, Padi) || Various Artists","Smoke (Prod. Dynamicduo, Padi)",Various Artists,46,0,0.0,0,71.09,78,18,single,False,3.49,4
Smoothie || NCT DREAM,Smoothie,NCT DREAM,11,0,0.0,0,67.27,71,22,single,False,3.13,6
Snooze (Acoustic) (feat. Justin Bieber) || SZA & Justin Bieber,Snooze (Acoustic) (feat. Justin Bieber),SZA & Justin Bieber,1,0,0.0,0,0.0,0,43,single,True,3.17,1
Snow Flower (feat. Peakboy) || V,Snow Flower (feat. Peakboy),V,12,0,0.0,0,67.75,77,25,single,False,3.82,1
Snowman || Sia,Snowman,Sia,10,0,0.0,0,94.0,94,14,album,False,2.76,13
"So Long, London || Taylor Swift","So Long, London",Taylor Swift,2,0,0.0,0,81.5,82,44,album,False,4.38,16
Somebody || D.O.,Somebody,D.O.,3,0,0.0,0,76.0,76,47,single,False,2.65,7
Somebody || Jung Kook,Somebody,Jung Kook,63,2,22.0,35,82.48,87,11,album,False,2.81,11
Soñar (Breaker) || NMIXX,Soñar (Breaker),NMIXX,1,0,0.0,0,58.0,58,46,album,False,2.88,7
Spark - WINTER Solo || aespa,Spark - WINTER Solo,aespa,1,0,0.0,0,64.0,64,44,single,False,3.34,4
Spicy || aespa,Spicy,aespa,120,0,0.0,0,83.17,85,3,single,False,3.28,6
Spicy || aespa & Nitepunk,Spicy,aespa & Nitepunk,1,0,0.0,0,0.0,0,44,single,False,3.28,2
Spring Snow || 10CM,Spring Snow,10CM,22,0,0.0,0,74.32,77,30,single,False,3.36,2
"St. Chroma (feat. Daniel Caesar) || Tyler, The Creator",St. Chroma (feat. Daniel Caesar),"Tyler, The Creator",2,0,0.0,0,81.0,83,30,album,True,3.28,14
Standing Next to You (USHER Remix) || Jung Kook & USHER,Standing Next to You (USHER Remix),Jung Kook & USHER,15,0,0.0,0,82.87,83,21,single,False,3.58,1
